.15,9.54
0.00,-0.15,9.54
0.04,-0.11,9.46
0.04,-0.15,9.58
0.11,-0.15,9.50
0.04,-0.23,9.50
-0.08,-0.15,9.46
0.04,-0.08,9.50
-0.04,-0.15,9.50
0.08,-0.19,9.42
0.00,-0.08,9.42
-0.04,-0.19,9.58
0.11,-0.08,9.46
0.11,-0.15,9.58
0.15,-0.15,9.50
0.00,-0.11,9.50
0.00,-0.19,9.54
0.08,-0.04,9.46
0.08,-0.19,9.50
0.08,-0.11,9.54
0.08,-0.15,9.58
0.08,-0.11,9.50
0.08,-0.04,9.50
0.08,-0.11,9.42
0.19,-0.15,9.50
0.11,-0.15,9.46
0.08,-0.11,9.50
0.00,-0.19,9.46
0.04,-0.19,9.50
0.11,-0.11,9.50
0.08,-0.11,9.50
0.08,-0.15,9.42
-0.04,-0.11,9.46
-0.04,-0.08,9.46
0.04,0.00,9.50
0.08,-0.19,9.62
0.04,-0.11,9.54
0.08,-0.23,9.42
0.08,-0.11,9.54
0.00,-0.08,9.54
0.15,-0.11,9.54
-0.08,-0.19,9.39
0.11,-0.11,9.50
0.04,-0.27,9.54
0.15,-0.11,9.58
0.15,-0.19,9.46
0.00,-0.11,9.50
0.04,-0.08,9.50
0.04,-0.11,9.46
0.04,-0.11,9.50
0.00,-0.15,9.42
0.08,-0.15,9.46
-0.04,-0.11,9.54
0.00,-0.19,9.58
0.00,-0.08,9.46
0.15,-0.23,9.50
0.08,-0.15,9.54
0.11,-0.15,9.54
0.08,-0.27,9.50
0.08,-0.15,9.58
0.04,-0.15,9.46
0.04,-0.27,9.50
0.04,-0.31,9.58
0.11,-0.11,9.65
0.08,-0.19,9.50
0.00,-0.19,9.50
0.04,-0.08,9.46
0.11,-0.19,9.39
0.08,-0.11,9.54
0.04,-0.23,9.46
0.04,-0.04,9.50
0.08,-0.11,9.54
0.00,-0.15,9.39
0.11,-0.08,9.50
-0.04,-0.11,9.42
0.00,0.00,9.54
0.08,-0.11,9.46
0.11,-0.19,9.54
0.04,-0.08,9.50
-0.08,-0.11,9.46
0.11,-0.15,9.58
0.08,-0.19,9.46
0.00,-0.11,9.50
0.08,-0.15,9.46
0.11,-0.23,9.46
0.04,-0.19,9.42
0.15,-0.11,9.42
0.15,-0.19,9.46
0.08,-0.15,9.54
0.00,-0.04,9.54
0.08,-0.19,9.50
0.00,-0.19,9.50
0.08,-0.15,9.54
0.11,-0.23,9.54
0.08,-0.15,9.58
0.11,-0.15,9.46
-0.08,-0.23,9.50
-0.04,-0.11,9.42
0.00,-0.11,9.50
0.19,-0.15,9.46
0.15,-0.11,9.50
0.04,-0.15,9.50
0.08,-0.19,9.58
0.04,-0.11,9.50
0.08,-0.08,9.54
0.08,-0.11,9.46
0.11,-0.23,9.39
0.11,-0.11,9.54
0.04,-0.08,9.50
0.00,-0.19,9.42
-0.04,-0.19,9.54
0.04,-0.15,9.46
0.08,-0.11,9.42
0.00,-0.23,9.58
0.15,-0.15,9.58
-0.04,-0.23,9.42
0.08,-0.19,9.42
-0.04,-0.15,9.58
0.08,-0.15,9.50
0.04,-0.19,9.54
-0.04,-0.11,9.46
0.15,-0.19,9.46
-0.04,-0.11,9.54
0.11,-0.08,9.50
0.00,0.00,9.46
0.04,-0.11,9.54
0.11,-0.23,9.46
0.00,-0.04,9.46
0.11,-0.08,9.54
-0.08,-0.11,9.42
0.11,-0.23,9.54
0.11,-0.19,9.46
-0.04,-0.15,9.39
-0.08,-0.15,9.54
0.00,-0.19,9.42
0.08,-0.15,9.54
0.00,-0.11,9.46
0.08,-0.19,9.39
0.08,-0.15,9.62
0.04,-0.11,9.58
0.04,-0.15,9.62
0.04,-0.15,9.42
0.00,-0.19,9.46
0.11,-0.19,9.62
0.15,-0.11,9.65
0.08,-0.08,9.42
0.19,-0.08,9.58
0.08,-0.23,9.54
0.04,-0.15,9.46
0.11,-0.19,9.46
0.00,-0.15,9.42
0.08,-0.15,9.46
-0.04,-0.11,9.42
0.15,-0.23,9.54
0.04,-0.08,9.42
0.00,-0.19,9.46
0.00,-0.11,9.62
0.11,-0.19,9.46
0.11,-0.19,9.54
0.15,-0.27,9.50
0.04,-0.11,9.54
0.11,-0.15,9.50
0.04,-0.15,9.62
0.11,-0.15,9.50
0.11,-0.11,9.54
0.04,-0.15,9.58
0.00,-0.19,9.62
-0.04,-0.15,9.54
0.04,-0.19,9.50
0.04,-0.15,9.58
0.08,-0.04,9.50
0.00,-0.11,9.42
0.11,-0.19,9.46
0.11,-0.11,9.54
-0.04,-0.11,9.50
-0.04,-0.04,9.58
0.08,-0.19,9.50
0.00,-0.19,9.39
0.11,-0.19,9.54
0.04,-0.15,9.46
0.08,-0.19,9.58
0.19,-0.04,9.54
0.15,-0.15,9.46
0.04,-0.15,9.50
0.08,-0.23,9.50
0.08,-0.11,9.50
0.11,-0.19,9.58
0.00,-0.19,9.42
0.00,-0.11,9.58
-0.04,-0.31,9.62
0.08,-0.15,9.50
-0.04,-0.04,9.58
0.08,-0.15,9.50
0.08,-0.15,9.54
0.08,-0.11,9.50
0.11,-0.15,9.42
0.11,-0.19,9.27
0.08,-0.19,9.54
0.04,-0.15,9.50
0.08,-0.31,9.42
0.08,-0.08,9.46
0.08,-0.11,9.58
0.04,-0.11,9.50
0.04,-0.19,9.58
-0.04,-0.15,9.54
0.04,-0.15,9.58
-0.04,-0.11,9.42
0.11,-0.08,9.46
0.08,-0.08,9.46
0.04,0.00,9.42
0.08,-0.15,9.58
0.11,-0.15,9.58
0.08,-0.15,9.54
0.15,-0.11,9.50
-0.11,-0.08,9.58
-0.04,-0.04,9.50
-0.04,-0.23,9.46
0.15,-0.08,9.62
0.00,-0.04,9.54
0.08,-0.19,9.50
0.11,-0.23,9.50
0.00,-0.19,9.50
0.08,-0.04,9.46
0.15,-0.11,9.46
0.04,-0.11,9.50
0.04,-0.15,9.39
0.19,-0.11,9.62
0.04,-0.19,9.42
0.04,-0.08,9.58
0.11,-0.11,9.50
0.08,-0.11,9.54
0.04,-0.11,9.50
0.19,-0.11,9.46
0.04,-0.04,9.50
0.08,-0.15,9.50
0.15,-0.04,9.42
0.08,-0.23,9.42
0.11,-0.11,9.58
0.04,-0.15,9.50
0.00,-0.04,9.35
-0.04,-0.08,9.35
0.23,-0.15,9.54
0.04,-0.15,9.50
0.00,-0.08,9.46
0.11,-0.15,9.54
0.04,-0.19,9.58
0.00,-0.11,9.50
0.04,-0.11,9.50
0.00,-0.08,9.42
0.08,-0.15,9.58
0.15,-0.11,9.50
0.08,-0.15,9.54
0.11,-0.08,9.62
0.11,-0.15,9.58
0.04,-0.04,9.54
0.11,-0.08,9.50
0.08,-0.19,9.58
0.15,-0.15,9.46
0.08,-0.19,9.46
0.08,-0.15,9.54
0.00,-0.15,9.46
0.04,-0.08,9.50
-0.04,-0.15,9.46
0.11,-0.04,9.50
0.11,-0.23,9.50
0.11,-0.15,9.58
0.00,-0.31,9.46
0.15,-0.11,9.54
0.08,-0.08,9.46
0.11,-0.23,9.50
0.04,-0.15,9.50
0.04,-0.15,9.54
0.04,-0.15,9.62
0.08,-0.04,9.39
0.08,-0.15,9.58
0.00,-0.11,9.50
0.19,-0.15,9.50
0.04,-0.11,9.50
0.11,-0.08,9.58
0.04,-0.11,9.54
0.04,-0.15,9.50
0.08,-0.15,9.50
0.23,-0.15,9.54
0.08,-0.04,9.54
0.15,-0.27,9.50
0.00,-0.04,9.42
0.11,-0.11,9.46
0.08,-0.15,9.58
0.08,-0.11,9.46
0.11,-0.23,9.46
0.19,-0.15,9.62
-0.04,-0.04,9.46
0.04,-0.19,9.58
-0.04,-0.11,9.50
0.11,-0.11,9.50
0.04,0.00,9.58
0.08,-0.19,9.50
-0.04,-0.04,9.42
0.00,-0.11,9.54
0.08,-0.15,9.46
0.04,-0.11,9.54
0.00,-0.11,9.62
0.11,-0.08,9.58
0.04,-0.08,9.50
0.11,-0.15,9.65
-0.04,-0.08,9.54
0.04,-0.11,9.42
-0.08,-0.15,9.46
0.15,-0.15,9.35
0.04,-0.08,9.46
-0.04,-0.19,9.42
0.11,-0.08,9.54
0.08,-0.11,9.54
0.11,-0.11,9.54
0.00,-0.15,9.54
0.11,-0.11,9.50
0.15,-0.08,9.54
0.08,-0.11,9.46
0.15,-0.04,9.46
0.19,-0.19,9.58
0.08,-0.08,9.54
0.00,-0.27,9.58
0.15,-0.15,9.46
0.04,-0.08,9.54
0.00,-0.23,9.50
0.08,-0.11,9.50
0.08,-0.08,9.54
0.04,-0.08,9.50
0.00,-0.11,9.54
0.00,-0.23,9.46
-0.04,-0.19,9.54
0.08,-0.19,9.42
0.08,-0.15,9.42
-0.04,0.00,9.62
0.04,-0.19,9.31
0.00,-0.19,9.58
0.08,-0.23,9.46
0.08,-0.08,9.50
0.00,-0.08,9.54
0.19,-0.11,9.39
0.11,-0.15,9.46
0.11,-0.15,9.50
0.08,-0.27,9.54
-0.04,-0.15,9.42
0.00,-0.11,9.50
0.04,-0.19,9.35
0.11,-0.15,9.50
0.04,-0.04,9.54
